manzo    186     495
manzo    181     477
manzo    176     425
manzo    149     322
manzo    184     482
manzo    190     587
manzo    158     370
manzo    139     322
manzo    175     479
manzo    148     375
manzo    152     330
manzo    111     300
manzo    141     386
manzo    153     401
manzo    190     645
manzo    157     440
manzo    131     317
manzo    149     319
manzo    135     298
manzo    132     253
carne    173     458
carne    191     506
carne    182     473
carne    190     545
carne    172     496
carne    147     360
carne    146     387
carne    139     386
carne    175     507
carne    136     393
carne    179     405
carne    153     372
carne    107     144
carne    195     511
carne    135     405
carne    140     428
carne    138     339
pollo 129     430
pollo 132     375
pollo 102     396
pollo 106     383
pollo 94      387
pollo 102     542
pollo 87      359
pollo 99      357
pollo 107     528
pollo 113     513
pollo 135     426
pollo 142     513
pollo 86      358
pollo 143     581
pollo 152     588
pollo 146     522
pollo 144     545


